"Rank","Player","Deck","Wins","Losses","List"
"195","ProBlackKnight","Sultai Ultimatum","1","3","Companion
1 Yorion, Sky Nomad

Deck
4 Binding the Old Gods
3 Valki, God of Lies
1 Shadows' Verdict
4 Fabled Passage
2 Esika's Chariot
4 Darkbore Pathway
4 Cultivate
3 Barkchannel Pathway
2 Alrund's Epiphany
4 Zagoth Triome
2 Shark Typhoon
1 Sea Gate Restoration
3 Omen of the Sea
2 Negate
1 Vorinclex, Monstrous Raider
2 Extinction Event
4 Clearwater Pathway
1 Disdainful Stroke
2 Eliminate
2 Elspeth's Nightmare
4 Emergent Ultimatum
3 Heartless Act
2 Graven Lore
2 Jwari Disruption
1 Ketria Triome
1 Kiora Bests the Sea God
3 Snow-Covered Island
1 Snow-Covered Mountain
4 Snow-Covered Forest
4 Snow-Covered Swamp
2 Mazemind Tome
1 Ugin, the Spirit Dragon
1 Elder Gargaroth

Sideboard
1 Wilt
1 Yorion, Sky Nomad
1 Negate
2 Eliminate
3 Duress
1 Ashiok, Nightmare Muse
1 Cling to Dust
1 Shadows' Verdict
4 Mystical Dispute"
"196","Robert Miller","Mono-Red Aggro","1","3","Deck
4 Fervent Champion
3 Rimrock Knight
3 Frost Bite
4 Robber of the Rich
4 Bonecrusher Giant
4 Anax, Hardened in the Forge
4 Embercleave
4 Faceless Haven
18 Snow-Covered Mountain
3 Torbran, Thane of Red Fell
1 Castle Embereth
2 Goldspan Dragon
3 Fireblade Charger
1 The Akroan War
2 Dragonkin Berserker

Sideboard
2 Ox of Agonas
2 Redcap Melee
1 Roiling Vortex
2 Embereth Paladin
1 Frost Bite
3 Embereth Shieldbreaker
3 Soul Sear
1 The Akroan War"
"197","Gabriel Figueira","Gruul Adventures","1","3","Deck
4 Edgewall Innkeeper
4 Mountain
8 Forest
2 Scavenging Ooze
4 Brushfire Elemental
4 Shatterskull Smashing
4 Bonecrusher Giant
4 Lovestruck Beast
4 Kazandu Mammoth
3 Embercleave
3 The Great Henge
4 Cragcrown Pathway
4 Fabled Passage
2 Questing Beast
2 Embereth Shieldbreaker
2 The Akroan War
2 Scorching Dragonfire

Sideboard
3 Soul Sear
2 Wilt
2 Ox of Agonas
2 Klothys, God of Destiny
2 Scorching Dragonfire
2 Vivien, Monsters' Advocate
2 Roiling Vortex"
"198","Takashi Narita","Naya Fury","1","3","Deck
4 Needleverge Pathway
4 Lovestruck Beast
4 Sejiri Shelter
4 Unleash Fury
2 Plains
2 Fabled Passage
4 Bonecrusher Giant
2 Mountain
4 Kazuul's Fury
4 Showdown of the Skalds
4 Giant Killer
2 Forest
4 Goldspan Dragon
4 Edgewall Innkeeper
4 Cragcrown Pathway
4 Branchloft Pathway
4 Shepherd of the Flock

Sideboard
3 Archon of Absolution
3 Fire Prophecy
2 Ox of Agonas
2 The Akroan War
1 Reidane, God of the Worthy
2 Redcap Melee
2 Roiling Vortex"
"199","Pedro Urquisa Barbosa","Rakdos Midrange","1","3","Companion
1 Lurrus of the Dream-Den

Deck
2 Bloodchief's Thirst
4 Elderfang Disciple
3 Archfiend's Vessel
4 Village Rites
1 Feed the Swarm
4 Mire Triton
3 Skyclave Shade
2 Valki, God of Lies
1 Call of the Death-Dweller
2 Inscription of Ruin
2 Heartless Act
3 Magmatic Channeler
3 Kroxa, Titan of Death's Hunger
4 Blightstep Pathway
2 Temple of Malice
1 Castle Locthwain
5 Swamp
4 Mountain
4 Fabled Passage
2 Shatterskull Smashing
3 Agadeem's Awakening
1 Embereth Shieldbreaker

Sideboard
1 Lurrus of the Dream-Den
2 Duress
2 Soul-Guide Lantern
2 Agonizing Remorse
4 Extinction Event
1 Embereth Shieldbreaker
1 Feed the Swarm
1 Inscription of Ruin
1 Necromentia"
"200","NH HGTEAM","Sultai Ultimatum","1","3","Companion
1 Yorion, Sky Nomad

Deck
2 Alrund's Epiphany
4 Barkchannel Pathway
4 Binding the Old Gods
4 Clearwater Pathway
4 Cultivate
4 Darkbore Pathway
4 Emergent Ultimatum
4 Extinction Event
2 Fabled Passage
2 Island
4 Heartless Act
3 Forest
2 Ketria Triome
1 Kiora Bests the Sea God
2 Negate
4 Omen of the Sea
2 Sea Gate Restoration
1 Shadows' Verdict
3 Swamp
2 Valki, God of Lies
2 Elspeth's Nightmare
4 Zagoth Triome
2 Fae of Wishes
4 Jwari Disruption
2 Mogis's Favor
4 Blightstep Pathway
1 Shark Typhoon
2 Mazemind Tome
1 Field of Ruin

Sideboard
1 Cling to Dust
1 Wilt
1 Mystical Dispute
1 Shadows' Verdict
1 Yorion, Sky Nomad
1 Toski, Bearer of Secrets
1 Elder Gargaroth
1 Koma, Cosmos Serpent
2 Mogis's Favor
1 Shark Typhoon
1 Negate
1 Disdainful Stroke
1 Ugin, the Spirit Dragon
1 Suffocating Fumes"
"201","Michael Moore","Mono-Red Aggro","1","3","Deck
4 Bonecrusher Giant
4 Embercleave
4 Fervent Champion
4 Rimrock Knight
4 Robber of the Rich
2 Torbran, Thane of Red Fell
4 Anax, Hardened in the Forge
4 Fireblade Charger
4 Frost Bite
2 Goldspan Dragon
18 Snow-Covered Mountain
4 Faceless Haven
2 Castle Embereth

Sideboard
2 The Akroan War
3 Ox of Agonas
2 Embereth Shieldbreaker
1 Redcap Melee
3 Roiling Vortex
2 Scorching Dragonfire
2 Phoenix of Ash"
"202","Filippo Begna","Esper Doom Foretold","1","3","Companion
1 Yorion, Sky Nomad

Deck
3 Charming Prince
3 Temple of Deceit
4 Plains
3 Treacherous Blessing
4 Brightclimb Pathway
4 Negate
3 Yorion, Sky Nomad
4 Hengegate Pathway
4 Fabled Passage
4 Heartless Act
2 Mystical Dispute
2 Extinction Event
4 Emeria's Call
4 Island
4 Elspeth Conquers Death
4 Doom Foretold
2 Dance of the Manse
3 Swamp
4 Clearwater Pathway
2 Temple of Silence
4 Skyclave Apparition
3 Elspeth's Nightmare
4 Omen of the Sea
2 Doomskar

Sideboard
1 Yorion, Sky Nomad
2 Skull Raid
2 Mystical Dispute
2 Disdainful Stroke
2 Doomskar
1 Charming Prince
3 Duress
2 Extinction Event"
"203","Nick Usman","Boros Aggro","1","3","Deck
4 Bonecrusher Giant
3 Giant Killer
4 Luminarch Aspirant
2 Robber of the Rich
4 Seasoned Hallowblade
2 Selfless Savior
2 Shepherd of the Flock
4 Skyclave Apparition
4 Usher of the Fallen
3 Maul of the Skyclaves
4 Showdown of the Skalds
4 Fabled Passage
2 Faceless Haven
4 Needleverge Pathway
4 Snow-Covered Mountain
10 Snow-Covered Plains

Sideboard
1 Giant Killer
2 Robber of the Rich
2 Embereth Shieldbreaker
2 Frost Bite
2 Glass Casket
2 Ox of Agonas
1 Redcap Melee
3 Reidane, God of the Worthy"
"204","Salvatore Torres","Sultai Ultimatum","1","3","Companion
1 Yorion, Sky Nomad

Deck
4 Cultivate
4 Fabled Passage
4 Omen of the Sea
1 Kiora Bests the Sea God
4 Heartless Act
4 Emergent Ultimatum
4 Zagoth Triome
2 Ketria Triome
4 Clearwater Pathway
2 Sea Gate Restoration
2 Jwari Disruption
4 Barkchannel Pathway
4 Darkbore Pathway
4 Binding the Old Gods
1 Vorinclex, Monstrous Raider
2 Valki, God of Lies
3 Island
3 Swamp
3 Forest
1 Alrund's Epiphany
4 Mazemind Tome
1 Blightstep Pathway
4 Wolfwillow Haven
2 Shadows' Verdict
2 Negate
2 Extinction Event
4 Eliminate
1 Elder Gargaroth

Sideboard
2 Koma, Cosmos Serpent
1 Yorion, Sky Nomad
2 Crippling Fear
1 Elder Gargaroth
2 Duress
3 Mystical Dispute
2 Glimpse of Freedom
1 Disdainful Stroke
1 Shadows' Verdict"
"205","Laura Kearsley","Mono-Red Aggro","1","3","Deck
4 Bonecrusher Giant
3 Embercleave
4 Fervent Champion
4 Rimrock Knight
4 Robber of the Rich
2 Torbran, Thane of Red Fell
4 Anax, Hardened in the Forge
4 Fireblade Charger
2 Frost Bite
3 Goldspan Dragon
1 Phoenix of Ash
4 Faceless Haven
2 Castle Embereth
19 Snow-Covered Mountain

Sideboard
1 The Akroan War
2 Ox of Agonas
1 Embereth Paladin
2 Fire Prophecy
1 Phoenix of Ash
3 Roiling Vortex
2 Embereth Shieldbreaker
1 Soul Sear
2 Redcap Melee"
"206","Dennis Urban","Mono-White Aggro","1","2","Deck
3 Alseid of Life's Bounty
2 Giant Killer
3 Halvar, God of Battle
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
3 Usher of the Fallen
4 Maul of the Skyclaves
4 Faceless Haven
17 Snow-Covered Plains
3 Reidane, God of the Worthy
2 Sentinel's Eyes
2 Castle Ardenvale
1 Kabira Takedown

Sideboard
2 Soul-Guide Lantern
4 Glass Casket
3 Archon of Absolution
2 Giant Killer
2 Funeral Longboat
2 Shadowspear"
"207","Hideaki Muraoka","Sultai Ultimatum","1","2","Companion
1 Yorion, Sky Nomad

Deck
4 Omen of the Sea
1 Valki, God of Lies
3 Fae of Wishes
4 Heartless Act
4 Cultivate
4 Binding the Old Gods
3 Shadows' Verdict
4 Emergent Ultimatum
2 Alrund's Epiphany
1 Kiora Bests the Sea God
2 Extinction Event
4 Zagoth Triome
2 Ketria Triome
4 Barkchannel Pathway
4 Darkbore Pathway
4 Clearwater Pathway
2 Sea Gate Restoration
3 Forest
3 Swamp
4 Jwari Disruption
4 Fabled Passage
1 Disdainful Stroke
2 Island
1 Negate
4 Mazemind Tome
2 Eliminate
4 Wolfwillow Haven

Sideboard
1 Yorion, Sky Nomad
1 Negate
1 Koma, Cosmos Serpent
1 Shadows' Verdict
1 Mystical Dispute
1 Polukranos, Unchained
1 Bloodchief's Thirst
2 Duress
1 Elder Gargaroth
1 Necromentia
1 Ugin, the Spirit Dragon
1 Cling to Dust
1 Eliminate
1 Disdainful Stroke"
"208","Dish","Gruul Adventures","1","2","Deck
4 Edgewall Innkeeper
4 Mountain
4 Bonecrusher Giant
8 Forest
2 Scavenging Ooze
4 Lovestruck Beast
2 Embereth Shieldbreaker
4 Brushfire Elemental
4 Kazandu Mammoth
4 Shatterskull Smashing
2 The Akroan War
2 Questing Beast
3 Embercleave
1 Primal Might
4 Cragcrown Pathway
4 Fabled Passage
2 Arni Brokenbrow
2 Goldspan Dragon

Sideboard
3 Scorching Dragonfire
2 Wilt
3 Ox of Agonas
1 The Akroan War
2 Soul Sear
3 Roiling Vortex
1 Garruk, Unleashed"
"209","Steven Williams","Grixis Control","1","2","Deck
4 Bonecrusher Giant
4 Brazen Borrower
2 Shatterskull Smashing
2 Disdainful Stroke
2 Negate
4 Shark Typhoon
4 Fabled Passage
4 Riverglide Pathway
1 Swamp
2 Mountain
1 Temple of Deceit
2 Temple of Epiphany
4 Goldspan Dragon
3 Behold the Multiverse
4 Heartless Act
2 Saw It Coming
2 Valki, God of Lies
4 Clearwater Pathway
4 Blightstep Pathway
4 Island
1 Extinction Event

Sideboard
2 Mystical Dispute
3 Ox of Agonas
2 Redcap Melee
3 Duress
3 Extinction Event
1 Negate
1 Soul-Guide Lantern"
"210","Tomohiro Nakagawa","Naya Fury","1","2","Deck
2 Plains
2 Mountain
2 Forest
4 Sejiri Shelter
4 Kazuul's Fury
4 Cragcrown Pathway
4 Needleverge Pathway
4 Branchloft Pathway
2 Fabled Passage
4 Giant Killer
4 Shepherd of the Flock
4 Showdown of the Skalds
4 Unleash Fury
4 Bonecrusher Giant
4 Goldspan Dragon
4 Edgewall Innkeeper
4 Lovestruck Beast

Sideboard
4 Archon of Absolution
4 Fire Prophecy
2 Run Afoul
2 Embereth Shieldbreaker
3 Ox of Agonas"
"211","Nathan Zamora","Bant Midrange","1","2","Deck
4 Fae of Wishes
2 Shepherd of the Flock
4 Giant Killer
2 Plains
4 Edgewall Innkeeper
4 Saw It Coming
4 Brazen Borrower
2 Island
4 Temple of Mystery
2 Niko Aris
3 Shark Typhoon
4 Lovestruck Beast
2 Esika's Chariot
2 Forest
4 Fabled Passage
4 Hengegate Pathway
4 Branchloft Pathway
4 Barkchannel Pathway
1 Temple of Plenty

Sideboard
1 Shark Typhoon
1 Primal Might
1 Alrund's Epiphany
1 Ugin, the Spirit Dragon
1 Broken Wings
1 Disdainful Stroke
1 Negate
1 Felidar Retreat
1 Tormod's Crypt
1 Once and Future
1 Shadowspear
1 Heliod's Intervention
1 Idol of Endurance
2 Chainweb Aracnir"
"212","Drew Christensen","Mono-Red Aggro","1","2","Deck
4 Anax, Hardened in the Forge
4 Bonecrusher Giant
2 Castle Embereth
4 Embercleave
4 Faceless Haven
4 Fervent Champion
4 Fireblade Charger
4 Frost Bite
2 Goldspan Dragon
4 Rimrock Knight
4 Robber of the Rich
18 Snow-Covered Mountain
2 Torbran, Thane of Red Fell

Sideboard
1 Opportunistic Dragon
3 Ox of Agonas
2 Phoenix of Ash
2 Scorching Dragonfire
2 Roiling Vortex
1 Shredded Sails
2 The Akroan War
2 Redcap Melee"
"213","Evan Moore","Mono-Red Aggro","1","2","Deck
4 Fervent Champion
19 Snow-Covered Mountain
4 Fireblade Charger
4 Rimrock Knight
4 Robber of the Rich
2 Castle Embereth
2 Frost Bite
4 Anax, Hardened in the Forge
4 Embercleave
1 Shatterskull Smashing
2 Torbran, Thane of Red Fell
2 Goldspan Dragon
4 Bonecrusher Giant
4 Faceless Haven

Sideboard
2 Phoenix of Ash
2 Frost Bite
3 Ox of Agonas
2 Shredded Sails
2 Scorching Dragonfire
2 Roiling Vortex
2 The Akroan War"
"214","Daren Grimes","Mono-Red Aggro","1","2","Deck
4 Bonecrusher Giant
4 Embercleave
4 Fervent Champion
4 Rimrock Knight
4 Robber of the Rich
2 Torbran, Thane of Red Fell
4 Anax, Hardened in the Forge
4 Fireblade Charger
2 Castle Embereth
4 Frost Bite
2 Goldspan Dragon
4 Faceless Haven
18 Snow-Covered Mountain

Sideboard
2 The Akroan War
2 Ox of Agonas
2 Opportunistic Dragon
2 Roiling Vortex
2 Phoenix of Ash
2 Scorching Dragonfire
2 Soul Sear
1 Shredded Sails"
"215","Nathaniel Knox","Mono-Green Food","1","2","Deck
1 Witch's Oven
4 Gilded Goose
3 Trail of Crumbs
4 Feasting Troll King
4 Wicked Wolf
4 Kazandu Mammoth
4 Lovestruck Beast
2 Vivien, Monsters' Advocate
1 Blizzard Brawl
3 Faceless Haven
3 The Great Henge
2 Vorinclex, Monstrous Raider
2 Old-Growth Troll
4 Tangled Florahedron
4 Castle Garenbrig
15 Snow-Covered Forest

Sideboard
2 Questing Beast
2 Scavenging Ooze
1 Kogla, the Titan Ape
1 Garruk, Unleashed
1 Ugin, the Spirit Dragon
1 Toski, Bearer of Secrets
2 Chainweb Aracnir
2 Thrashing Brontodon
1 Blizzard Brawl
1 Run Afoul
1 Vorinclex, Monstrous Raider"
"216","Chase Masters","Sultai Ultimatum","1","2","Deck
4 Edgewall Innkeeper
4 Forest
1 Brazen Borrower
2 Swamp
4 Fae of Wishes
2 Valki, God of Lies
2 Island
4 Lovestruck Beast
3 Cultivate
1 Polukranos, Unchained
2 Heartless Act
3 Emergent Ultimatum
2 Vorinclex, Monstrous Raider
2 Alrund's Epiphany
3 Beanstalk Giant
2 The Great Henge
1 Fabled Passage
1 Tangled Florahedron
4 Zagoth Triome
4 Darkbore Pathway
4 Barkchannel Pathway
4 Clearwater Pathway
1 Mountain

Sideboard
1 Shadows' Verdict
1 Emergent Ultimatum
1 Ugin, the Spirit Dragon
1 Extinction Event
1 Wilt
3 Mystical Dispute
2 Chainweb Aracnir
1 Cling to Dust
2 Negate
1 Duress
1 Bloodchief's Thirst"
"217","Lukas Honnay","Esper Doom Foretold","1","2","Companion
1 Yorion, Sky Nomad

Deck
3 Yorion, Sky Nomad
4 Omen of the Sea
4 Omen of the Sun
2 Archon of Sun's Grace
4 Heartless Act
2 Golden Egg
4 Extinction Event
1 Dance of the Manse
3 Treacherous Blessing
4 Elspeth's Nightmare
4 Doom Foretold
2 Swamp
2 Plains
2 Island
4 Fabled Passage
1 The Birth of Meletis
1 Forest
4 Clearwater Pathway
4 Brightclimb Pathway
4 Glass Casket
4 Hengegate Pathway
4 Zagoth Triome
2 Negate
4 Binding the Old Gods
3 Indatha Triome
2 Branchloft Pathway
2 Barkchannel Pathway

Sideboard
1 Yorion, Sky Nomad
3 Mystical Dispute
1 Cling to Dust
2 Disdainful Stroke
2 Negate
1 Chainweb Aracnir
2 Shark Typhoon
2 Elspeth Conquers Death
1 Run Afoul"
"218","Mojo","Four-color Cycling","1","2","Companion
1 Lurrus of the Dream-Den

Deck
4 Drannith Stinger
4 Flourishing Fox
4 Drannith Healer
4 Valiant Rescuer
3 Boon of the Wish-Giver
4 Go for Blood
3 Memory Leak
3 Frostveil Ambush
4 Startling Development
4 Zenith Flare
4 Improbable Alliance
2 Brightclimb Pathway
3 Raugrin Triome
4 Needleverge Pathway
1 Blightstep Pathway
1 Clearwater Pathway
4 Hengegate Pathway
4 Riverglide Pathway

Sideboard
2 Shatter the Sky
2 Roiling Vortex
3 Redcap Melee
3 Shredded Sails
1 Lurrus of the Dream-Den
2 Negate
2 Mystical Dispute"
"219","Jacob Ray","Mono-Red Aggro","1","2","Deck
4 Anax, Hardened in the Forge
4 Bonecrusher Giant
4 Embercleave
4 Fervent Champion
4 Rimrock Knight
4 Robber of the Rich
3 Torbran, Thane of Red Fell
1 Castle Embereth
19 Snow-Covered Mountain
4 Faceless Haven
4 Frost Bite
4 Fireblade Charger
1 Goldspan Dragon

Sideboard
2 Soul Sear
4 Roiling Vortex
2 Ox of Agonas
2 Shredded Sails
3 Redcap Melee
2 Scorching Dragonfire"
"220","thales augusto","Esper Doom Foretold","1","2","Companion
1 Yorion, Sky Nomad

Deck
3 Skyclave Apparition
3 Archon of Sun's Grace
3 Temple of Deceit
2 Treacherous Blessing
4 Brightclimb Pathway
2 Negate
2 Yorion, Sky Nomad
4 Hengegate Pathway
4 Fabled Passage
4 Heartless Act
2 Glass Casket
4 Extinction Event
4 Emeria's Call
2 Island
4 Elspeth Conquers Death
4 Doom Foretold
1 Dance of the Manse
3 Swamp
2 Omen of the Sun
4 Clearwater Pathway
2 Temple of Silence
4 Elspeth's Nightmare
4 Omen of the Sea
2 Shark Typhoon
4 Plains
2 Jwari Disruption
1 Soul Shatter

Sideboard
1 Yorion, Sky Nomad
2 Cling to Dust
4 Mystical Dispute
2 Disdainful Stroke
1 Negate
2 Shadows' Verdict
2 Shark Typhoon
1 Eliminate"
"221","Patrizio Ghirga","Four-color Cycling","1","2","Companion
1 Lurrus of the Dream-Den

Deck
4 Boon of the Wish-Giver
3 Brightclimb Pathway
2 Clearwater Pathway
4 Drannith Stinger
4 Flourishing Fox
3 Footfall Crater
4 Frostveil Ambush
3 Go for Blood
4 Hengegate Pathway
3 Improbable Alliance
4 Memory Leak
4 Needleverge Pathway
2 Raugrin Triome
4 Riverglide Pathway
1 Shredded Sails
3 Startling Development
4 Valiant Rescuer
4 Zenith Flare

Sideboard
2 Disdainful Stroke
2 Doomskar
1 Glass Casket
1 Lurrus of the Dream-Den
2 Mystical Dispute
2 Negate
2 Redcap Melee
1 Shredded Sails
2 Soul-Guide Lantern"
"222","Andreas Hamann","Sultai Control","1","2","Companion
1 Yorion, Sky Nomad

Deck
4 Barkchannel Pathway
4 Binding the Old Gods
1 Bloodchief's Thirst
4 Clearwater Pathway
3 Cosima, God of the Voyage
2 Crawling Barrens
4 Darkbore Pathway
2 Eliminate
3 Elspeth's Nightmare
2 Extinction Event
4 Fabled Passage
4 Heartless Act
3 Swamp
4 Jwari Disruption
2 Lochmere Serpent
3 Mazemind Tome
2 Negate
4 Omen of the Sea
2 Saw It Coming
2 Shadows' Verdict
1 Forest
2 Temple of Deceit
1 Ugin, the Spirit Dragon
4 Zagoth Triome
2 Koma, Cosmos Serpent
2 Valki, God of Lies
2 Ketria Triome
2 Island
1 Mystical Dispute
1 Essence Scatter
1 Polukranos, Unchained
1 Disdainful Stroke
1 Cling to Dust

Sideboard
3 Skyclave Shade
1 Negate
2 Shark Typhoon
1 Cling to Dust
1 Yorion, Sky Nomad
1 Disdainful Stroke
1 Eliminate
2 Elder Gargaroth
2 Duress
1 Soul Shatter"
"223","Joe Ambrosio","Boros Aggro","1","2","Deck
4 Giant Killer
6 Plains
2 Shepherd of the Flock
4 Seasoned Hallowblade
3 Selfless Savior
4 Skyclave Apparition
4 Luminarch Aspirant
3 Usher of the Fallen
3 Maul of the Skyclaves
2 Shatterskull Smashing
4 Mountain
3 Emeria's Call
4 Fabled Passage
2 Temple of Triumph
4 Needleverge Pathway
4 Showdown of the Skalds
4 Bonecrusher Giant

Sideboard
2 Ox of Agonas
2 Roiling Vortex
3 Glass Casket
2 Soul-Guide Lantern
2 Funeral Longboat
2 Reidane, God of the Worthy
2 The Akroan War"
"224","Fillipa Carola","Grixis Control","1","2","Companion
1 Jegantha, the Wellspring

Deck
4 Blightstep Pathway
4 Bonecrusher Giant
4 Claim the Firstborn
4 Fabled Passage
3 Immersturm Predator
2 Kroxa, Titan of Death's Hunger
2 Mountain
1 Island
3 The Akroan War
4 Riverglide Pathway
2 Valki, God of Lies
4 Village Rites
3 Swamp
4 Woe Strider
3 Mire Triton
2 Kazuul's Fury
2 Temple of Deceit
2 Thassa, Deep-Dwelling
4 Clearwater Pathway
2 Skyclave Shade
1 Disdainful Stroke

Sideboard
4 Duress
1 Skyclave Shade
2 Ox of Agonas
3 Negate
3 Mystical Dispute
1 Jegantha, the Wellspring
1 Roiling Vortex"
"225","Anders Gotfredsen","Mono-Red Aggro","1","2","Deck
4 Fervent Champion
2 Castle Embereth
4 Frost Bite
17 Snow-Covered Mountain
4 Rimrock Knight
4 Bonecrusher Giant
3 Torbran, Thane of Red Fell
4 Embercleave
4 Fireblade Charger
4 Robber of the Rich
4 Anax, Hardened in the Forge
4 Faceless Haven
1 Shatterskull Smashing
1 Phoenix of Ash

Sideboard
3 Redcap Melee
2 Roiling Vortex
2 Scorching Dragonfire
2 The Akroan War
3 Ox of Agonas
2 Phoenix of Ash
1 Embereth Paladin"
"226","Nikolas Gkilis","Gruul Adventures","1","2","Deck
4 Edgewall Innkeeper
2 Mountain
4 Bonecrusher Giant
4 Forest
4 Lovestruck Beast
4 Brushfire Elemental
2 Scavenging Ooze
4 Kazandu Mammoth
2 Questing Beast
4 Goldspan Dragon
4 Shatterskull Smashing
4 Embercleave
2 The Akroan War
4 Riverglide Pathway
4 Barkchannel Pathway
4 Cragcrown Pathway
4 Fabled Passage

Sideboard
2 Klothys, God of Destiny
2 Ox of Agonas
2 Disdainful Stroke
2 Fire Prophecy
2 Negate
1 Wilt
2 Soul Sear
1 Island
1 Miscast"
"227","Luis Alonso Calle","Naya Fury","1","2","Deck
4 Branchloft Pathway
4 Cragcrown Pathway
4 Needleverge Pathway
3 Fabled Passage
1 Forest
2 Mountain
2 Plains
4 Edgewall Innkeeper
4 Giant Killer
4 Sejiri Shelter
4 Unleash Fury
4 Kazuul's Fury
4 Bonecrusher Giant
4 Lovestruck Beast
4 Showdown of the Skalds
4 Shepherd of the Flock
4 Goldspan Dragon

Sideboard
2 Ox of Agonas
3 Roiling Vortex
3 Fire Prophecy
2 The Akroan War
2 Redcap Melee
3 Archon of Absolution"
"228","Quadarius Steele","Sultai Ultimatum","1","2","Companion
1 Yorion, Sky Nomad

Deck
4 Jwari Disruption
4 Omen of the Sea
2 Eliminate
4 Heartless Act
2 Valki, God of Lies
4 Wolfwillow Haven
3 Elspeth's Nightmare
4 Cultivate
2 Extinction Event
1 Esika's Chariot
4 Binding the Old Gods
2 Shadows' Verdict
2 Shark Typhoon
1 Vorinclex, Monstrous Raider
2 Alrund's Epiphany
1 Kiora Bests the Sea God
2 Sea Gate Restoration
4 Emergent Ultimatum
2 Island
3 Swamp
3 Forest
4 Clearwater Pathway
3 Darkbore Pathway
3 Barkchannel Pathway
2 Ketria Triome
4 Zagoth Triome
4 The World Tree
4 Fabled Passage

Sideboard
3 Duress
3 Negate
2 Crippling Fear
1 Polukranos, Unchained
2 Elder Gargaroth
1 Koma, Cosmos Serpent
2 Shark Typhoon
1 Yorion, Sky Nomad"
"229","TheGuapster","Rakdos Sacrifice","1","2","Deck
4 Bonecrusher Giant
4 Claim the Firstborn
2 Castle Locthwain
4 Fabled Passage
4 Mire Triton
4 Tymaret Calls the Dead
4 Woe Strider
3 The Akroan War
3 Kroxa, Titan of Death's Hunger
3 Temple of Malice
1 Heartless Act
3 Village Rites
2 Valki, God of Lies
4 Immersturm Predator
4 Blightstep Pathway
4 Mountain
7 Swamp

Sideboard
3 Duress
2 Embereth Shieldbreaker
1 Cling to Dust
2 Elspeth's Nightmare
2 Ox of Agonas
1 Heartless Act
3 Skyclave Shade
1 Valki, God of Lies"
"230","Cnic","Dimir Rogues","1","2","Companion
1 Lurrus of the Dream-Den

Deck
3 Merfolk Windrobber
4 Soaring Thought-Thief
4 Ruin Crab
4 Thieves' Guild Enforcer
1 Essence Scatter
1 Didn't Say Please
2 Heartless Act
4 Drown in the Loch
4 Into the Story
3 Lullmage's Domination
3 Of One Mind
3 Agadeem's Awakening
2 Zagoth Triome
3 Swamp
4 Clearwater Pathway
4 Fabled Passage
4 Temple of Deceit
5 Island
2 Bloodchief's Thirst

Sideboard
1 Lurrus of the Dream-Den
1 Duress
2 Cling to Dust
2 Negate
3 Mystical Dispute
4 Skyclave Shade
2 Crippling Fear"
"231","Themis Gkyzis","Esper Doom Foretold","1","2","Companion
1 Yorion, Sky Nomad

Deck
2 Archon of Sun's Grace
4 Barkchannel Pathway
3 Zagoth Triome
3 Yorion, Sky Nomad
2 Treacherous Blessing
2 The Raven's Warning
4 Omen of the Sea
2 Negate
4 Indatha Triome
4 Heartless Act
4 Binding the Old Gods
2 Golden Egg
4 Extinction Event
4 Doom Foretold
4 Branchloft Pathway
4 Brightclimb Pathway
4 Clearwater Pathway
2 Dance of the Manse
4 Hengegate Pathway
3 Omen of the Sun
2 Island
4 Elspeth's Nightmare
3 Eliminate
3 Darkbore Pathway
3 Plains

Sideboard
4 Mystical Dispute
2 Chainweb Aracnir
1 Dance of the Manse
1 Yorion, Sky Nomad
1 Cling to Dust
1 Eliminate
1 Archon of Sun's Grace
2 Negate
2 Disdainful Stroke"
"232","Hélio Lima","Esper Doom Foretold","1","2","Deck
1 Extinction Event
4 Omen of the Sea
2 Dance of the Manse
2 Swamp
3 Elspeth's Nightmare
2 Treacherous Blessing
2 Doomskar
2 Emeria's Call
2 Gates of Istfell
4 Doom Foretold
2 Elspeth Conquers Death
2 Glass Casket
4 Brightclimb Pathway
4 Clearwater Pathway
1 Hagra Mauling
2 Fabled Passage
2 Plains
3 Negate
4 Heartless Act
2 Omen of the Sun
2 Yorion, Sky Nomad
4 Hengegate Pathway
2 Island
2 Eliminate

Sideboard
3 Mystical Dispute
1 Cling to Dust
1 Tormod's Crypt
2 Shark Typhoon
3 Disdainful Stroke
2 Soul Shatter
2 Agonizing Remorse
1 Shadows' Verdict"
"233","Gustavo Mendez","Mono-Black Planeswalkers","1","2","Deck
4 Bloodchief's Thirst
2 Castle Locthwain
3 Faceless Haven
4 Duress
4 Extinction Event
2 Field of Ruin
3 Forsaken Monument
2 Cling to Dust
4 Heartless Act
1 Labyrinth of Skophos
4 Mazemind Tome
4 Radiant Fountain
4 Solemn Simulacrum
4 Ugin, the Spirit Dragon
3 Crawling Barrens
11 Snow-Covered Swamp
1 Skull Raid

Sideboard
2 Soul Shatter
4 Agonizing Remorse
1 Eliminate
2 Erebos's Intervention
2 Liliana, Waker of the Dead
2 Shadows' Verdict
2 Inscription of Ruin"
